uniswap_pair,uniswap_pool_id,uniswap_fee_tier,binance_pair,reverse_price
USDC/WETH,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,ETH/USDC,0
USDC/WETH,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000,ETH/USDC,0
WBTC/WETH,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,3000,ETH/BTC,0
WBTC/USDC,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,3000,BTC/USDC,1
WETH/USDT,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,3000,ETH/USDT,1
WBTC/WETH,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,500,ETH/BTC,0
LINK/WETH,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,3000,LINK/ETH,1
WETH/USDT,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,ETH/USDT,1
WBTC/USDT,0x9db9e0e53058c89e5b94e29621a205198648425b,3000,BTC/USDT,1
DAI/WETH,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,3000,ETH/DAI,0
UNI/WETH,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,3000,UNI/ETH,1
USDC/USDT,0x3416cf6c708da44db2624d63ea0aaef7113527c6,100,USDC/USDT,1
AAVE/WETH,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,3000,AAVE/ETH,1
WBTC/USDC,0xcbfb0745b8489973bf7b334d54fdbd573df7ef3c,10000,BTC/USDC,1
WBTC/USDC,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,500,BTC/USDC,1
DAI/WETH,0x60594a405d53811d3bc4766596efd80fd545a270,500,ETH/DAI,0
WBTC/USDT,0x56534741cd8b152df6d48adf7ac51f75169a83b2,500,BTC/USDT,1
WETH/SOL,0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,3000,SOL/ETH,0
USDC/WETH,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,10000,ETH/USDC,0
USDC/SEI,0xf8e349d1d827a6edf17ee673664cfad4ca78c533,3000,SEI/USDC,0
USDC/USDT,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,500,USDC/USDT,1
WETH/USDT,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,100,ETH/USDT,1
USDC/WETH,0xe0554a476a092703abdb3ef35c80e0d76d32939f,100,ETH/USDC,0
PAXG/USDC,0xb431c70f800100d87554ac1142c4a94c5fe4c0c4,3000,PAXG/USDC,1
DAI/USDT,0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,100,USDT/DAI,0
LINK/WETH,0x5d4f3c6fa16908609bac31ff148bd002aa6b8c83,500,LINK/ETH,1
WETH/USDT,0xc5af84701f98fa483ece78af83f11b6c38aca71d,10000,ETH/USDT,1
WETH/GALA,0x465e56cd21ad47d4d4790f17de5e0458f20c3719,3000,GALA/ETH,0
USDC/CRV,0x9445bd19767f73dcae6f2de90e6cd31192f62589,10000,CRV/USDC,0
UNI/USDT,0x3470447f3cecffac709d3e783a307790b0208d60,3000,UNI/USDT,1
USD1/USDT,0x185a1ff695d30a22c19f44c6b41e2d6d1c8c1f11,100,USD1/USDT,1
WETH/INJ,0x6c063a6e8cd45869b5eb75291e65a3de298f3aa8,3000,INJ/ETH,0
WETH/GRT,0x0e2c4be9f3408e5b1ff631576d946eb8c224b5ed,3000,GRT/ETH,0
WBTC/WETH,0x6ab3bba2f41e7eaa262fa5a1a9b3932fa161526f,10000,ETH/BTC,0
LINK/USDC,0xfad57d2039c21811c8f2b5d5b65308aa99d31559,3000,LINK/USDC,1
POWR/WETH,0xe3fe800b0de664bf0bca8ad58ecbc73b259047b0,500,POWR/ETH,1
WBTC/DAI,0x391e8501b626c623d39474afca6f9e46c2686649,3000,BTC/DAI,1
USDT/TRU,0x51c2e82b1d0815eda5f21d63795a77774e988e50,3000,TRU/USDT,0
DAI/USDT,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,500,USDT/DAI,0
SSV/WETH,0x0a55882f4e1117adc54afbbac4a39079ad52fb89,3000,SSV/ETH,1
UNI/USDC,0xd0fc8ba7e267f2bc56044a7715a489d851dc6d78,3000,UNI/USDC,1
MANA/WETH,0x8661ae7918c0115af9e3691662f605e9c550ddc9,3000,MANA/ETH,1
PAXG/USDC,0x5ae13baaef0620fdae1d355495dc51a17adb4082,500,PAXG/USDC,1
AAVE/USDC,0xdceaf5d0e5e0db9596a47c0c4120654e80b1d706,3000,AAVE/USDC,1
USDT/SXT,0x20c42d3513e9e7fafff82173aa5327f02d5163e3,3000,SXT/USDT,0
ARB/WETH,0x59354356ec5d56306791873f567d61ebf11dfbd5,3000,ARB/ETH,1
WAXP/USDT,0xe61cedeb1593e2d9f06af1e212842c8b5e289863,3000,WAXP/USDT,1
WETH/BTC,0x7c2caefe7ef6f5edf53cdcea8d60ea615f102e0c,10000,ETH/BTC,1
USDC/ENS,0x5f7e8408e573e934b0df49ba5b569c30f1ebbad4,10000,ENS/USDC,0
DUSK/USDT,0xff29d3e552155180809ea3a877408a4620058086,3000,DUSK/USDT,1
NEAR/USDC,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,3000,NEAR/USDC,1
AAVE/USDT,0x4d1ad4a9e61bc0e5529d64f38199ccfca56f5a42,3000,AAVE/USDT,1
IOTX/WETH,0x489cebe6cd5dc5dcb7047a1f0d4f358a5d2fb295,3000,IOTX/ETH,1
BNB/WETH,0x9e7809c21ba130c1a51c112928ea6474d9a9ae3c,10000,BNB/ETH,1
UNI/WBTC,0x8f0cb37cdff37e004e0088f563e5fe39e05ccc5b,3000,UNI/BTC,1
DENT/WETH,0x8b6ed5fa776f10787f1171bdeea4f3c40974df6e,10000,DENT/ETH,1
USDC/USDT,0xee4cf3b78a74affa38c6a926282bcd8b5952818d,3000,USDC/USDT,1
ENS/USDT,0x09aa63b7a22eefc372196aacd5b53441ed390bfb,3000,ENS/USDT,1
